id,judge_id,court_id,judge,court,,,,name,judges_id,,id,district,county
,427,,Honorable S. Craig Smith,5th Court of Appeals,,,,Honorable Andrea Stroh Thompson,1,,1,416th District Court,Collin
,428,,Honorable Gerald L. '(Jerry)' Zimmerer,14th Court of Appeals,,,,Honorable Michelle Moore,2,,2,314th District Court,Harris
,429,,Honorable Tracy K. Christopher,14th Court of Appeals,,,,Honorable Sonya Heath,3,,3,310th District Court,Harris
,430,,Honorable Aaron Pena,13th Court of Appeals,,,,Honorable Deeanne Scoboda Galvan,4,,4,County Court at Law No 3,Nueces
,431,,Honorable Veronica Rivas-Molloy,1st Court of Appeals,,,,Honorable Jeffrey A. Shadwick,5,,5,55th District Court,Harris
,432,,Honorable Emily Miskel,5th Court of Appeals,,,,Honorable Jill Renfro Willis,6,,6,429th District Court,Collin
,433,,Honorable April Lynn Farris,1st Court of Appeals,,,,Honorable Tanya Garrison,7,,7,157th District Court,Harris
,434,,Honorable Meagan Hassan,14th Court of Appeals,,,,Honorable Donna Roth,8,,8,295th District Court,Harris
,381,,Honorable Bonnie Lee Goldstein,5th Court of Appeals,,,,Honorable Sally Lundberg Montgomery,9,,9,County Court at Law No 3,Dallas
,436,,Honorable Gregory W. Neeley,12th Court of Appeals,,,,Honorable Clay White,10,,10,County Court at Law No 3,Smith
,28,,Honorable Maricela Breedlove,5th Court of Appeals,,,,Honorable Tonya Parker,11,,11,116th District Court,Dallas
,438,,Honorable Brian P. Quinn,7th Court of Appeals,,,,Honorable Jan Soifer,12,,12,459th District Court,Travis
,439,,Honorable Chari Kelly,3rd Court of Appeals,,,,Honorable J. Brad McCampbell,13,,13,402nd District Court,Wood
,440,,Honorable Dabney Dorsett Bassel,2nd Court of Appeals,,,,Honorable Guy S. Herman,14,,14,Probate Court No 1,Travis
,441,,Honorable J. Wade Birdwell,2nd Court of Appeals,,,,Honorable J. Allan Garrett,15,,15,33rd District Court,Blanco
,442,,Honorable John M. Bailey,11th Court of Appeals,,,,Honorable James Benjamin Munford,16,,16,322nd District Court,Tarrant
,443,,Honorable Edward Stuart Smith,3rd Court of Appeals,,,,Honorable Pat Gallagher,17,,17,96th District Court,Tarrant
,72,,Honorable Steven Lee Smith,10th Court of Appeals,,,,Honorable Tameika Carter,18,,18,400th District Court,Fort Bend
,445,,Honorable Gisela Triana,3rd Court of Appeals,,,,Honorable Timothy D. Yeats,19,,19,118th District Court,Martin
,446,,Honorable Cory Lee Carlyle,5th Court of Appeals,,,,Honorable Maya Guerra Gamble,20,,20,53rd District Court,Travis
,447,,Honorable Dana Womack,2nd Court of Appeals,,,,Honorable Hal R. Ridley,21,,21,278th District Court,Leon
,448,,Honorable Robbie Partida-Kipness,5th Court of Appeals,,,,Honorable Brandy Hallford,22,,22,County Court at Law No 1,Williamson
,449,,Honorable Yvonne Rodriguez,8th Court of Appeals,,,,Honorable Carry A. Baker,23,,23,108th District Court,Potter
,450,,Honorable Nancy Elizabeth Kennedy,5th Court of Appeals,,,,Honorable Emily G. Tobolowsky,24,,24,298th District Court,Dallas
,451,,Honorable Kenneth H. Molberg,5th Court of Appeals,,,,Honorable Aiesha Redmond,25,,25,160th District Court,Dallas
,452,,Honorable Amanda Lea Reichek,5th Court of Appeals,,,,Honorable John (Mike) M. Swanson,26,,26,143rd District Court,Loving
,453,,Honorable Erin A. Nowell,5th Court of Appeals,,,,Honorable Ashley Elizabeth Wysocki,27,,27,162nd District Court,Dallas
,454,,Honorable Bonnie Sudderth,2nd Court of Appeals,,,,Honorable Maricela Breedlove,28,,28,99th District Court,Lubbock
,455,,Honorable W. Scott Golemon,9th Court of Appeals,,,,Honorable Edward Self,29,,29,13th District Court,Navarro
,456,,Honorable Clarissa Silva,13th Court of Appeals,,,,Honorable James Edward Lagomarsino,30,,30,17th District Court,Tarrant
,457,,Honorable Per Curiam,12th Court of Appeals,,,,Honorable Melody Wilkinson,31,,31,Tyler County Court,Tyler
,458,,Honorable Judy Crowder Parker,7th Court of Appeals,,,,Honorable Kathleen S. Stone,32,,32,192nd District Court,Dallas
,459,,Honorable Brian Keith Walker,2nd Court of Appeals,,,,Honorable Kristina M. Williams,33,,33,County Court at Law No 4,Dallas
,460,,Honorable Scott  E. Stevens,6th Court of Appeals,,,,Honorable Paula Rosales,34,,34,County Court at Law No 4,Nueces
,461,,Honorable William Norman Pedersen,5th Court of Appeals,,,,Honorable Mark H. Woerner,35,,35,Van Zandt County Court,Van Zandt
,457,,Honorable Per Curiam,14th Court of Appeals,,,,Honorable Joshua Z. Wintters,36,,36,155th District Court,Fayette
,462,,Honorable William Stacy Trotter,11th Court of Appeals,,,,Honorable Jeff Steinhauser,37,,37,431st District Court,Denton
,457,,Honorable Per Curiam,2nd Court of Appeals,,,,Honorable Jim S. Johnson,38,,38,101st District Court,Dallas
,414,,Honorable Matthew E. Johnson,10th Court of Appeals,,,,Honorable Amy Mccorkle Smith,39,,39,219th District Court,Collin
,457,,Honorable Per Curiam,1st Court of Appeals,,,,Honorable Staci Williams,40,,40,134th District Court,Dallas
,464,,Honorable D. Michael Wallach,2nd Court of Appeals,,,,Honorable Jennifer Edgeworth,41,,41,270th District Court,Harris
,465,,Honorable Tom W. Gray,10th Court of Appeals,,,,Honorable Dale B. Tillery,42,,42,County Court at Law No 2,Ector
,466,,Honorable Charles Spain,14th Court of Appeals,,,,Honorable Dedra Davis,43,,43,348th District Court,Tarrant
,467,,Honorable Rosa Lopez Theofanis,3rd Court of Appeals,,,,Honorable Christopher Michael Clark,44,,44,261st District Court,Travis
,468,,Honorable Dori Contreras,13th Court of Appeals,,,,Honorable Megan Jo Berger Fahey,45,,45,Probate Court,Dallas
,469,,Honorable Lawrence M. Doss,7th Court of Appeals,,,,Honorable Daniella Deseta Lyttle,46,,46,365th District Court,Zavala
,470,,Honorable Daymon Jeffrey Rambin,6th Court of Appeals,,,,Honorable Julia Malveaux,47,,47,41st District Court,El Paso
,471,,Honorable Charles Van Cleef,6th Court of Appeals,,,,"Honorable Amado J. Abascal, III",48,,48,231st District Court,Tarrant
,472,,Honorable Beth Watkins,4th Court of Appeals,,,,Honorable Annabel Perez,49,,49,272nd District Court,Brazos
,473,,"Honorable Margaret ""Meg"" Poissant",14th Court of Appeals,,,,Honorable Jesus E. Nevarez,50,,50,149th District Court,Brazoria
,474,,Honorable Sarah Beth Landau,1st Court of Appeals,,,,Honorable John Brick,51,,51,353rd District Court,Travis
,475,,Honorable Alex L Yarbrough,7th Court of Appeals,,,,Honorable Terri Tipton Holder,52,,52,271st District Court,Wise
,476,,Honorable Elizabeth Sturdivant Kerr,2nd Court of Appeals,,,,Honorable Jessica Lauren Mangrum,53,,53,326th District Court,Taylor
,477,,Honorable Luz Elena D Chapa,4th Court of Appeals,,,,Honorable Brock R. Smith,54,,54,319th District Court,Nueces
,478,,Honorable Jim Wright,10th Court of Appeals,,,,Honorable Paul R. Rotenberry,55,,55,97th District Court,Montague
,479,,Honorable Randy Wilson,14th Court of Appeals,,,,Honorable David V. Stith,56,,56,126th District Court,Travis
